seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Rosetta,Farmer,45,Gapji Court,Sidpunbog,KY,23708,$2140.57,GREEN,02/21/1918
2,Della,Rowe,20,Dunhu Avenue,Mamzuaj,OH,76637,$584.38,RED,11/07/1973
3,Luke,Salazar,20,Befvoc Key,Humekkeg,WA,71509,$4743.90,YELLOW,12/21/1909
4,Gregory,Keller,47,Docbi Mill,Jalohpap,KY,07652,$8352.45,YELLOW,09/17/1986
5,Thomas,Poole,36,Tocja River,Jepawhe,TX,16883,$8774.10,BLUE,02/17/1985
6,Christopher,Martin,41,Coswi Junction,Deknodu,NV,57751,$9211.24,RED,09/23/2067
7,Katharine,Swanson,18,Vakeku Trail,Kuizovo,PA,42051,$9953.89,GREEN,11/20/1904
8,Elva,Fuller,32,Ariuhe Drive,Zotkotcer,MO,68701,$7166.83,YELLOW,06/09/2030
9,Cordelia,Rodgers,53,Ovlur Pass,Gepanpob,NH,59203,$1280.55,GREEN,04/21/1956
10,Viola,Malone,25,Ojuvu Ridge,Geffabel,CA,31548,$7679.66,GREEN,03/29/1943
11,Juan,Brady,25,Wadaf Court,Mupusare,MN,99242,$5275.74,WHITE,02/08/1919
12,Danny,Guerrero,29,Aduc Court,Sumneckov,NH,52040,$2961.55,GREEN,05/01/2017
13,Delia,Larson,18,Jusu Terrace,Onvimgup,TN,64714,$8110.08,BLUE,11/20/2029
14,Joseph,Price,35,Fezre Key,Pahmitedo,NM,45350,$8833.08,YELLOW,12/07/1966
15,Edward,Russell,50,Otkiv River,Raopuade,HI,49932,$3438.58,GREEN,11/15/2044
16,Evan,Carr,27,Jawcor Pass,Odrelmuh,AL,25564,$4323.06,BLUE,07/09/2064
17,Francisco,Powell,51,Akoifa View,Riladbu,VT,91365,$370.50,BLUE,03/13/1946
18,Jane,Robbins,40,Ocwuf Mill,Reunekoj,IL,64083,$1623.39,GREEN,01/03/1952
19,Jose,Ortega,25,Wubas Point,Pelaru,IA,45971,$4759.50,GREEN,10/17/1934
20,Jerry,Goodwin,29,Sirlu Center,Vamoev,NE,82816,$4310.87,YELLOW,12/14/1945
21,Amelia,Caldwell,35,Cokko Trail,Zisomcud,TN,57987,$4151.36,BLUE,04/20/2039
22,Dorothy,Parks,63,Ropfi Ridge,Pidirso,NM,36644,$9656.81,BLUE,03/26/2035
23,Lena,McCarthy,47,Jeuw Way,Cefnigson,NM,45123,$4458.77,RED,01/06/1907
24,Augusta,McDaniel,31,Vovgi Square,Kiditmo,MO,36836,$7298.98,BLUE,01/22/2069
25,Sophie,Francis,65,Raca Loop,Akfepzi,DC,06500,$9124.27,RED,08/31/1912
26,Rhoda,Fowler,61,Makrop Loop,Edigemaj,CT,33706,$3085.79,BLUE,03/21/2039
27,Violet,Brock,26,Tejvu Parkway,Gubcuszo,NE,21870,$5107.93,GREEN,05/02/1932
28,Lettie,Holloway,19,Uhaho Street,Rorvilpu,FL,60461,$8608.76,GREEN,03/27/2015
29,Warren,Francis,35,Tejhe Mill,Niupukel,NM,57801,$2860.26,GREEN,06/20/2048
30,Rodney,Schwartz,23,Fevci Mill,Moralilur,KY,86464,$5317.73,RED,06/22/2042
31,Hattie,Moss,56,Hanus Heights,Jakrapcer,WV,33546,$8356.44,WHITE,02/08/1974
32,Alta,Bryan,60,Kitva Ridge,Elzadet,VA,47292,$5889.83,BLUE,08/16/2004
33,Ryan,George,27,Hukrob Loop,Halimuc,PA,49554,$1794.31,YELLOW,07/29/2048
34,Jimmy,Stewart,35,Meag Plaza,Asufage,NJ,59978,$4658.08,BLUE,07/25/1937
35,Sadie,McKinney,40,Mebawu Park,Daivon,NC,14643,$4384.16,GREEN,03/30/2025
36,Dean,Fernandez,43,Asupip Extension,Vucavhep,MN,96059,$8686.61,RED,05/15/1902
37,Ola,Ballard,24,Kedtu Point,Besupipu,DE,02246,$5643.13,RED,05/04/1912
